"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene","GeneID"
4043.36347022053,-6.44781965573573,0.425212534902765,-15.1637572425051,6.14510463057694e-52,3.73315106307549e-48,"ENSMUSG00000068614","Actc1"
928.103383645508,-6.52361238320624,0.480324011521634,-13.5816911641371,5.14251821957347e-42,1.56203990919544e-38,"ENSMUSG00000007877","Tcap"
677.900278571607,-5.24776910307835,0.427521523965247,-12.2748652615323,1.23597394180897e-34,2.50284723216317e-31,"ENSMUSG00000060600","Eno3"
2648.53722641151,-4.52082947326566,0.38339047720068,-11.7917103895601,4.3070399883703e-32,6.54131698233739e-29,"ENSMUSG00000035458","Tnni3"
4745.54890192309,-4.61684889803853,0.39770935469297,-11.6086002090716,3.72666285314657e-31,4.52789536657309e-28,"ENSMUSG00000013936","Myl2"
1916.57021096402,-4.4931776743474,0.404558304873903,-11.1063785373233,1.16800917741781e-28,1.18260929213553e-25,"ENSMUSG00000038583","Pln"
267.311352954639,-5.155270427703,0.482177186191748,-10.6916514827661,1.11369983602982e-26,9.66532357697308e-24,"ENSMUSG00000022519","Srl"
596.239107088713,-5.12477711002624,0.501388903796014,-10.2211617992073,1.59418614134998e-24,1.21058510108764e-21,"ENSMUSG00000053093","Myh7"
440.025426257364,-5.45271279145453,0.536213676502496,-10.1689177848285,2.72924072555211e-24,1.84223748974768e-21,"ENSMUSG00000008136","Fhl2"
1096.56637215859,-3.84750212337653,0.390094964304763,-9.86298843983708,6.02295511652399e-23,3.65894523328833e-20,"ENSMUSG00000030399","Ckm"
272.633120225533,6.84766199798346,0.696221079418414,9.83547065783132,7.91964227732118e-23,4.37380243952056e-20,"ENSMUSG00000038508","Gdf15"
241.613557184674,-4.58139239443176,0.467993405854022,-9.78943792182575,1.24988754887602e-22,6.32755571618484e-20,"ENSMUSG00000038239","Hrc"
1231.60725509043,-3.77631653290535,0.386572562319875,-9.76871330506014,1.53387665906634e-22,7.16792361832923e-20,"ENSMUSG00000021909","Tnnc1"
1464.58840500392,-4.57345809464915,0.468836724177169,-9.75490583139746,1.75763722789479e-22,7.62689011390061e-20,"ENSMUSG00000056366","Fabp3-ps1"
1694.04915996464,-3.65832469693806,0.384458805725676,-9.51551802808333,1.80809766794197e-21,7.32279555516496e-19,"ENSMUSG00000031633","Slc25a4"
180.088520785527,-4.6805585810961,0.494632443560637,-9.46270031824613,3.00091478157791e-21,1.13940983113036e-18,"ENSMUSG00000059325","Hopx"
154.550512838983,-7.39401685383011,0.796003985685126,-9.288919385832,1.55862654295511e-20,5.56979779320722e-18,"ENSMUSG00000021250","Fos"
512.858438913747,4.02918400765373,0.441395963604271,9.12827560712824,6.95990053294774e-20,2.34896642986986e-17,"ENSMUSG00000020458","Rtn4"
198.376118433182,5.16145484311559,0.573761012288696,8.99582706487302,2.34460162262735e-19,7.49655518813746e-17,"ENSMUSG00000021701","Plk2"
121.775423560983,-5.08975415989264,0.570270187764516,-8.92516261431218,4.45044898526737e-19,1.35182387927496e-16,"ENSMUSG00000034842","Art3"
107.371772993473,-5.35441347442737,0.612040281020276,-8.74846581257939,2.16272869188916e-18,6.25646514439364e-16,"ENSMUSG00000033044","Dhrs7c"
907.87778889166,-3.64012433259504,0.417019838961943,-8.72889966495631,2.5716223378181e-18,7.10118441011135e-16,"ENSMUSG00000021622","Ckmt2"
325.992309232882,-4.68664656653087,0.537597692068235,-8.71775797344014,2.83764724418378e-18,7.49509000365934e-16,"ENSMUSG00000027861","Casq2"
632.58920512071,-3.50724311354051,0.406532440363116,-8.62721585123155,6.28634677382608e-18,1.59123152712473e-15,"ENSMUSG00000020321","Mdh1"
312.025180233096,-3.67291752201434,0.426543814645816,-8.61087981093846,7.25019714746737e-18,1.76179790683457e-15,"ENSMUSG00000036880","Acaa2"
142.765412389893,-5.02652922812029,0.58755738563051,-8.55495880240925,1.17910835544795e-17,2.7550320228255e-15,"ENSMUSG00000019577","Pdk4"
97.9344444658106,-5.11796324104373,0.60644745165629,-8.4392526130102,3.19373188545749e-17,7.18589674227936e-15,"ENSMUSG00000041361","Gcom1"
197.384167067826,-4.00840346876246,0.475420626693557,-8.431277996161,3.41910432851408e-17,7.41823528418679e-15,"ENSMUSG00000002500","Rpl3l"
107.794943496139,-4.75942660954521,0.567181432490004,-8.39136533199029,4.80528554656051e-17,1.00662447225362e-14,"ENSMUSG00000053113","Socs3"
353.331375082255,-3.59810655526437,0.441666055341878,-8.14666762760205,3.74090059148324e-16,7.57532369775355e-14,"ENSMUSG00000020475","Pgam2"
85.1798825710902,-6.26383551910967,0.774646657478041,-8.08605505315464,6.16283378629085e-16,1.20771662102313e-13,"ENSMUSG00000038418","Egr1"
142.820415640609,-4.10206974613554,0.508977514059302,-8.05943216119681,7.66496651162837e-16,1.45514598619195e-13,"ENSMUSG00000022803","Popdc2"
726.911293352266,-3.29485854317932,0.41674273899734,-7.90621703717397,2.65328424085589e-15,4.88445507975743e-13,"ENSMUSG00000063684","Gm13910"
86.8111803633987,-6.87289493074468,0.88358485359927,-7.77842094366834,7.3435369302023e-15,1.31211726032291e-12,"ENSMUSG00000031312","Itgb1bp2"
381.639051536595,-3.24163576531355,0.417166354380756,-7.7706069323962,7.8110939085473e-15,1.35578272841214e-12,"ENSMUSG00000022186","Oxct1"
104.930413870681,-4.64649667878972,0.603865509036387,-7.6945886281936,1.41950124157168e-14,2.3954083451522e-12,"ENSMUSG00000026888","Grb14"
